15-dic-2025;;;;;;;;;;;
iShares Core MSCI EM IMI UCITS ETF;;;;;;;;;;;
Inception Date;30/05/2014;;;;;;;;;;
Fund Holdings as of;15/12/2025;;;;;;;;;;
Number of Securities;3.022,00;;;;;;;;;;
Shares Outstanding;709.449.982,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
POWERGRID;POWER GRID CORPORATION OF INDIA LT;Imprese di servizi di pubblica utilità;Azionario;38.784.912,11;0,12;38.784.912,11;13.421.436,00;2,89;India;National Stock Exchange Of India;INR
3017;ASIA VITAL COMPONENTS LTD;IT;Azionario;38.624.822,35;0,12;38.624.822,35;877.973,00;43,99;Taiwan;Taiwan Stock Exchange;TWD
ETE;NATIONAL BANK OF GREECE SA;Finanziari;Azionario;38.522.033,66;0,12;38.522.033,66;2.464.249,00;15,63;Grecia;Athens Exchange S.A. Cash Market;EUR
SHFL;SHRIRAM FINANCE LTD;Finanziari;Azionario;38.466.845,40;0,12;38.466.845,40;4.080.483,00;9,43;India;National Stock Exchange Of India;INR
207940;SAMSUNG BIOLOGICS LTD;Salute;Azionario;38.399.483,98;0,12;38.399.483,98;31.876,00;1.204,65;Corea;Korea Exchange (Stock Market);KRW
2020;ANTA SPORTS PRODUCTS LTD;Consumi Discrezionali;Azionario;38.271.379,28;0,12;38.271.379,28;3.627.600,00;10,55;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
WEGE3;WEG SA;Industriali;Azionario;38.185.671,05;0,12;38.185.671,05;4.152.538,00;9,20;Brasile;XBSP;BRL
2887;TS FINANCIAL HOLDING LTD;Finanziari;Azionario;37.979.170,32;0,12;37.979.170,32;61.568.455,00;0,62;Taiwan;Taiwan Stock Exchange;TWD
3231;WISTRON CORP;IT;Azionario;37.960.026,84;0,12;37.960.026,84;8.415.188,00;4,51;Taiwan;Taiwan Stock Exchange;TWD
175;GEELY AUTOMOBILE HOLDINGS LTD;Consumi Discrezionali;Azionario;37.688.631,69;0,12;37.688.631,69;17.041.897,00;2,21;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
9992;POP MART INTERNATIONAL GROUP LTD;Consumi Discrezionali;Azionario;37.262.950,80;0,11;37.262.950,80;1.520.600,00;24,51;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
ITC;ITC LTD;Generi di largo consumo;Azionario;37.064.930,37;0,11;37.064.930,37;8.359.533,00;4,43;India;National Stock Exchange Of India;INR
267260;HD HYUNDAI ELECTRIC LTD;Industriali;Azionario;37.001.066,68;0,11;37.001.066,68;65.575,00;564,26;Corea;Korea Exchange (Stock Market);KRW
